               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.029292,            0.013263,                   0,             0.95727,             0.88445,             0.94882,             0.72353,            0.023932,           0.0083549,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.029334,            0.013305,                   0,             0.95934,              0.8856,             0.94947,             0.72577,            0.023781,           0.0082899,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.029659,            0.013064,                   0,             0.95762,             0.88894,             0.95057,             0.73046,            0.023626,           0.0082218,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.029075,            0.012949,                   0,             0.95855,             0.89033,             0.95067,             0.72816,            0.023747,           0.0082584,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.029167,            0.013147,                   0,             0.96008,              0.8856,             0.95128,             0.72772,            0.023635,           0.0082291,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.028626,            0.013054,                   0,             0.95614,             0.89081,             0.95165,             0.73029,            0.023531,           0.0081935,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.028974,             0.01316,                   0,             0.95902,             0.89466,             0.95312,             0.73088,            0.023554,           0.0081943,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.028644,            0.012426,                   0,             0.96122,             0.89255,               0.953,             0.73308,            0.023478,           0.0081449,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.028441,            0.012584,                   0,             0.95972,             0.89227,             0.95349,             0.73427,            0.023437,           0.0081326,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.028574,            0.012925,                   0,             0.95819,             0.89512,             0.95324,             0.73544,            0.023397,           0.0081008,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.028136,            0.012672,                   0,             0.96498,             0.89256,             0.95398,             0.73567,            0.023297,           0.0080483,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.029044,            0.012771,                   0,             0.96174,             0.89449,             0.95356,             0.73723,            0.023263,           0.0080263,                   0,            0.001783,            0.001783,            0.001783
                 168,            0.028769,            0.012683,                   0,             0.96073,             0.89447,             0.95324,              0.7377,            0.023218,           0.0080415,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,            0.028652,            0.012722,                   0,             0.96114,             0.89379,              0.9537,             0.73689,            0.023207,           0.0080246,                   0,            0.001684,            0.001684,            0.001684
                 170,            0.027872,            0.012706,                   0,             0.96229,             0.89392,             0.95391,             0.73727,            0.023187,           0.0080168,                   0,           0.0016345,           0.0016345,           0.0016345
                 171,            0.027769,            0.012319,                   0,             0.95821,             0.89908,             0.95507,             0.73922,            0.023067,           0.0079647,                   0,            0.001585,            0.001585,            0.001585
                 172,            0.028774,             0.01275,                   0,             0.96215,             0.89755,             0.95541,             0.74178,            0.022961,            0.007934,                   0,           0.0015355,           0.0015355,           0.0015355
                 173,            0.027699,              0.0124,                   0,             0.96111,              0.8966,             0.95542,             0.73965,            0.022991,           0.0079335,                   0,            0.001486,            0.001486,            0.001486
                 174,            0.028146,            0.012888,                   0,             0.96314,             0.89728,             0.95469,             0.74093,            0.022968,           0.0079458,                   0,           0.0014365,           0.0014365,           0.0014365
                 175,            0.028593,            0.012491,                   0,             0.96394,             0.89491,             0.95398,             0.74017,            0.022943,           0.0079493,                   0,            0.001387,            0.001387,            0.001387
                 176,            0.028142,            0.012603,                   0,             0.96002,             0.90118,             0.95519,             0.74213,            0.022861,           0.0078992,                   0,           0.0013375,           0.0013375,           0.0013375
                 177,            0.028088,            0.012439,                   0,             0.96296,             0.90061,             0.95545,             0.74396,            0.022774,           0.0078447,                   0,            0.001288,            0.001288,            0.001288
                 178,            0.028301,            0.012891,                   0,             0.96434,             0.89853,             0.95557,             0.74471,             0.02276,           0.0078417,                   0,           0.0012385,           0.0012385,           0.0012385
                 179,            0.027902,            0.011826,                   0,             0.96408,             0.90103,             0.95553,             0.74634,            0.022709,           0.0078156,                   0,            0.001189,            0.001189,            0.001189
                 180,            0.028112,            0.012438,                   0,              0.9626,             0.90147,             0.95564,             0.74633,            0.022714,           0.0078143,                   0,           0.0011395,           0.0011395,           0.0011395
                 181,            0.027966,              0.0125,                   0,             0.96637,             0.89839,             0.95619,             0.74805,            0.022634,           0.0077762,                   0,             0.00109,             0.00109,             0.00109
                 182,            0.027789,            0.012415,                   0,             0.96818,              0.8967,             0.95635,             0.74796,            0.022611,           0.0077672,                   0,           0.0010405,           0.0010405,           0.0010405
                 183,            0.027623,            0.012195,                   0,             0.96519,             0.89714,             0.95604,              0.7482,            0.022611,           0.0077673,                   0,            0.000991,            0.000991,            0.000991
                 184,            0.027902,            0.012429,                   0,             0.96618,             0.89672,             0.95605,             0.74889,            0.022588,           0.0077574,                   0,           0.0009415,           0.0009415,           0.0009415
                 185,            0.027319,            0.012106,                   0,             0.96526,             0.89867,              0.9569,             0.74815,             0.02258,           0.0077589,                   0,            0.000892,            0.000892,            0.000892
                 186,            0.027654,            0.012325,                   0,             0.96458,             0.90006,             0.95684,             0.74905,            0.022499,           0.0077296,                   0,           0.0008425,           0.0008425,           0.0008425
                 187,            0.027459,            0.011792,                   0,             0.96599,             0.90016,             0.95638,              0.7503,             0.02244,            0.007715,                   0,            0.000793,            0.000793,            0.000793
                 188,            0.027344,            0.011934,                   0,             0.96594,             0.90268,              0.9571,             0.75107,            0.022403,           0.0077021,                   0,           0.0007435,           0.0007435,           0.0007435
                 189,            0.026753,            0.012009,                   0,             0.96781,             0.90281,             0.95774,             0.75133,            0.022416,           0.0076942,                   0,            0.000694,            0.000694,            0.000694
                 190,            0.027499,            0.012833,                   0,             0.96667,             0.90172,             0.95772,              0.7516,            0.022411,           0.0076913,                   0,           0.0006445,           0.0006445,           0.0006445
                 191,            0.027366,            0.012231,                   0,             0.96612,             0.90242,             0.95725,             0.75113,            0.022424,           0.0077058,                   0,            0.000595,            0.000595,            0.000595
                 192,            0.027016,            0.011946,                   0,             0.96443,             0.90339,             0.95743,             0.75195,            0.022356,           0.0076846,                   0,           0.0005455,           0.0005455,           0.0005455
                 193,             0.02693,            0.011956,                   0,             0.96503,             0.90395,             0.95801,              0.7533,            0.022273,           0.0076603,                   0,            0.000496,            0.000496,            0.000496
                 194,             0.02716,            0.011964,                   0,             0.96631,              0.9011,             0.95717,             0.75378,            0.022244,           0.0076528,                   0,           0.0004465,           0.0004465,           0.0004465
                 195,            0.027089,            0.011847,                   0,              0.9653,             0.90339,             0.95808,              0.7544,            0.022218,           0.0076383,                   0,            0.000397,            0.000397,            0.000397
                 196,            0.027072,            0.012297,                   0,              0.9645,             0.90548,             0.95884,              0.7546,             0.02222,           0.0076413,                   0,           0.0003475,           0.0003475,           0.0003475
                 197,            0.027034,            0.012004,                   0,             0.96492,             0.90613,             0.95908,             0.75402,            0.022219,           0.0076366,                   0,            0.000298,            0.000298,            0.000298
                 198,            0.027166,            0.012136,                   0,             0.96464,             0.90644,             0.95878,             0.75471,            0.022205,           0.0076368,                   0,           0.0002485,           0.0002485,           0.0002485
                 199,            0.026835,            0.011878,                   0,             0.96433,             0.90574,             0.95829,             0.75472,            0.022194,           0.0076259,                   0,            0.000199,            0.000199,            0.000199
